CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Cluster
12346.0,326,2,0.0,1,1,1,3,3
12347.0,2,182,4310.0,4,4,4,12,1
12348.0,75,31,1797.24,2,2,4,8,4
12349.0,19,73,1757.55,3,3,4,10,1
12350.0,310,17,334.4,1,1,2,4,3
12352.0,36,95,1545.41,3,3,3,9,1
12353.0,204,4,89.0,1,1,1,3,2
12354.0,232,58,1079.4,1,3,3,7,2
12355.0,214,13,459.4,1,1,2,4,2
12356.0,23,59,2811.43,3,3,4,10,1
12357.0,33,131,6207.67,3,4,4,11,1
12358.0,2,19,1168.06,4,2,3,9,1
12359.0,8,254,6245.53,4,4,4,12,1
12360.0,52,129,2662.06,2,4,4,10,4
12361.0,287,10,189.9,1,1,1,3,3
12362.0,3,274,5154.58,4,4,4,12,1
12363.0,110,23,552.0,2,2,2,6,4
12364.0,8,85,1313.1,4,3,3,10,1
12365.0,291,23,320.69,1,2,2,5,3
12367.0,4,11,168.9,4,1,1,6,1
12370.0,51,167,3545.69,2,4,4,10,4
12371.0,45,63,1887.96,3,3,4,10,1
12372.0,72,52,1298.04,2,3,3,8,4
12373.0,311,14,364.6,1,1,2,4,3
12374.0,25,33,742.9300000000001,3,2,3,8,1
12375.0,3,18,455.42,4,2,2,8,1
12377.0,315,77,1628.12,1,3,4,8,3
12378.0,130,219,4008.62,2,4,4,10,4
12379.0,82,41,850.29,2,2,3,7,4
12380.0,22,105,2720.56,3,4,4,11,1
12381.0,5,91,1803.96,4,3,4,11,1
12383.0,185,100,1839.31,1,3,4,8,2
12384.0,29,30,566.16,3,2,2,7,1
12386.0,338,10,401.9,1,1,2,4,3
12388.0,16,100,2780.66,4,3,4,11,1
12390.0,80,32,549.84,2,2,2,6,4
12391.0,22,100,460.89,3,3,2,8,1
12393.0,72,64,1582.6000000000001,2,3,3,8,4
12394.0,64,27,1272.48,2,2,3,7,4
12395.0,16,159,2998.28,4,4,4,12,1
12397.0,36,126,2409.9,3,4,4,11,1
12398.0,46,85,1635.6599999999999,3,3,4,10,1
12399.0,119,59,1108.65,2,3,3,8,4
12401.0,303,5,84.3,1,1,1,3,3
12402.0,323,11,225.6,1,1,1,3,3
12403.0,50,6,409.7,3,1,2,6,4
12405.0,149,54,1710.39,1,3,4,8,2
12406.0,22,108,3280.75,3,4,4,11,1
12407.0,50,77,1708.1200000000001,3,3,4,10,4
12408.0,33,113,2842.57,3,4,4,11,1
12409.0,79,114,11056.93,2,4,4,10,4
12410.0,301,28,681.0799999999999,1,2,3,6,3
12412.0,75,61,1226.88,2,3,3,8,4
12413.0,67,40,694.15,2,2,3,7,4
12414.0,217,18,562.41,1,2,2,5,2
12415.0,24,778,123725.45,3,4,4,11,1
12417.0,3,198,3578.8,4,4,4,12,1
12418.0,113,34,668.58,2,2,3,7,4
12420.0,64,29,600.39,2,2,2,6,4
12421.0,16,46,806.27,4,3,3,10,1
12422.0,96,39,803.5600000000001,2,2,3,7,4
12423.0,1,126,1849.11,4,4,4,12,1
12424.0,163,30,1760.96,1,2,4,7,2
12425.0,78,36,777.2,2,2,3,7,4
12426.0,195,30,582.73,1,2,2,5,2
12427.0,12,35,708.37,4,2,3,9,1
12428.0,26,300,7877.2,3,4,4,11,1
12429.0,9,97,3750.4,4,3,4,11,1
12430.0,43,11,256.4,3,1,1,5,1
12431.0,36,240,6416.39,3,4,4,11,1
12432.0,43,108,5059.32,3,4,4,11,1
12433.0,1,420,13375.87,4,4,4,12,1
12434.0,85,54,765.19,2,3,3,8,4
12435.0,80,36,7829.89,2,2,4,8,4
12436.0,100,16,509.01,2,1,2,5,4
12437.0,2,201,4896.66,4,4,4,12,1
12438.0,14,98,2906.85,4,3,4,11,1
12441.0,367,11,173.55,1,1,1,3,3
12442.0,3,12,172.06,4,1,1,6,1
12444.0,21,177,5005.46,3,4,4,11,1
12445.0,22,4,133.4,3,1,1,5,1
12446.0,58,58,1002.3100000000001,2,3,3,8,4
12447.0,243,26,476.49,1,2,2,5,2
12448.0,44,22,449.45,3,2,2,7,1
12449.0,22,191,4067.29,3,4,4,11,1
12450.0,156,8,197.88,1,1,1,3,2
12451.0,11,355,8933.52,4,4,4,12,1
12452.0,17,23,428.57,4,2,2,8,1
12453.0,134,43,707.09,2,3,3,8,2
12454.0,53,30,5.684341886080802e-14,2,2,1,5,4
12455.0,73,90,2466.86,2,3,4,9,4
12456.0,44,129,3153.89,3,4,4,11,1
12457.0,58,68,1917.78,2,3,4,9,4
12458.0,71,38,947.4,2,2,3,7,4
12461.0,94,35,826.88,2,2,3,7,4
12462.0,2,72,1124.01,4,3,3,10,1
12463.0,46,88,1303.63,3,3,3,9,1
12464.0,10,29,1212.05,4,2,3,9,1
12465.0,8,51,733.89,4,3,3,10,1
12468.0,143,40,724.0400000000001,2,2,3,7,2
12471.0,2,531,18740.92,4,4,4,12,1
12472.0,31,391,6229.48,3,4,4,11,1
12473.0,29,179,2848.23,3,4,4,11,1
12474.0,17,457,7116.47,4,4,4,12,1
12475.0,54,36,723.38,2,2,3,7,4
12476.0,1,264,6546.58,4,4,4,12,1
12477.0,23,308,13117.01,3,4,4,11,1
12478.0,4,36,680.99,4,2,3,9,1
12479.0,4,35,477.3,4,2,2,8,1
12480.0,28,154,3281.63,3,4,4,11,1
12481.0,23,218,5590.86,3,4,4,11,1
12483.0,17,81,2327.13,4,3,4,11,1
12484.0,33,350,4495.27,3,4,4,11,1
12488.0,10,55,1298.66,4,3,3,10,1
12489.0,336,15,334.93,1,1,2,4,3
12490.0,5,245,5417.93,4,4,4,12,1
12491.0,39,26,460.40000000000003,3,2,2,7,1
12492.0,63,20,263.21000000000004,2,2,1,5,4
12493.0,166,23,416.79,1,2,2,5,2
12494.0,10,84,1139.3500000000001,4,3,3,10,1
12497.0,82,14,1043.1,2,1,3,6,4
12498.0,21,23,403.70000000000005,3,2,2,7,1
12500.0,23,65,4206.27,3,3,4,10,1
12501.0,315,160,2089.68,1,4,4,9,3
12502.0,96,147,3723.87,2,4,4,10,4
12503.0,338,1,-1126.0,1,1,1,3,3
12504.0,18,15,114.0,3,1,1,5,1
12505.0,301,1,-4.5,1,1,1,3,3
12506.0,233,23,73.5,1,2,1,4,2
12507.0,134,23,1258.06,2,2,3,7,2
12508.0,26,69,398.27,3,3,2,8,1
12509.0,284,7,176.5,1,1,1,3,3
12510.0,143,33,982.5699999999999,2,2,3,7,2
12512.0,66,34,138.03,2,2,1,5,4
12513.0,85,36,586.79,2,2,2,6,4
12514.0,267,51,1017.68,1,3,3,7,3
12515.0,353,16,383.7,1,1,2,4,3
12516.0,78,26,1312.06,2,2,3,7,4
12517.0,28,286,2464.89,3,4,4,11,1
12518.0,1,124,2056.89,4,4,4,12,1
12519.0,64,18,340.84,2,2,2,6,4
12520.0,79,155,2582.51,2,4,4,10,4
12521.0,143,38,599.68,2,2,2,6,2
12522.0,39,12,192.72,3,1,1,5,1
12523.0,2,110,1745.57,4,4,4,12,1
12524.0,9,144,4485.72,4,4,4,12,1
12526.0,1,71,1316.66,4,3,3,10,1
12527.0,82,18,348.71000000000004,2,2,2,6,4
12528.0,9,95,1922.28,4,3,4,11,1
12530.0,60,68,1623.63,2,3,4,9,4
12531.0,15,17,125.22,4,1,1,6,1
12532.0,30,16,349.83000000000004,3,1,2,6,1
12534.0,131,63,1089.18,2,3,3,8,4
12535.0,92,34,716.35,2,2,3,7,4
12536.0,8,273,4106.82,4,4,4,12,1
12538.0,29,21,363.95,3,2,2,7,1
12539.0,22,274,3852.5,3,4,4,11,1
12540.0,20,481,13309.039999999999,3,4,4,11,1
12541.0,30,52,981.18,3,3,3,9,1
12544.0,30,20,355.7,3,2,2,7,1
12545.0,75,50,1000.39,2,3,3,8,4
12546.0,47,70,1141.5,3,3,3,9,1
12547.0,198,8,207.79999999999998,1,1,1,3,2
12548.0,166,5,95.19999999999999,1,1,1,3,2
12550.0,79,57,964.83,2,3,3,8,4
12551.0,358,10,168.0,1,1,1,3,3
12552.0,39,20,437.82,3,2,2,7,1
12553.0,8,196,3652.25,4,4,4,12,1
12556.0,50,121,603.71,3,4,2,9,4
12557.0,16,33,11990.960000000001,4,2,4,10,1
12558.0,2,22,1.0658141036401503e-14,4,2,1,7,1
12559.0,311,22,536.21,1,2,2,5,3
12560.0,5,111,2101.39,4,4,4,12,1
12561.0,303,16,238.85,1,1,1,3,3
12562.0,8,168,3781.7400000000002,4,4,4,12,1
12564.0,261,21,456.9,1,2,2,5,3
12565.0,282,10,131.17,1,1,1,3,3
12566.0,73,20,346.7,2,2,2,6,4
12567.0,23,463,9114.94,3,4,4,11,1
12569.0,2,191,4064.9900000000002,4,4,4,12,1
12571.0,40,34,519.61,3,2,2,7,1
12572.0,9,62,1004.72,4,3,3,10,1
12573.0,227,28,160.54000000000002,1,2,1,4,2
12574.0,316,11,218.45,1,1,1,3,3
12576.0,36,89,1306.98,3,3,3,9,1
12577.0,35,148,595.4,3,4,2,9,1
12578.0,21,120,2753.36,3,4,4,11,1
12579.0,73,31,410.72,2,2,2,6,4
12580.0,247,24,415.7,1,2,2,5,3
12581.0,40,15,197.71,3,1,1,5,1
12582.0,239,22,511.36,1,2,2,5,2
12583.0,3,251,7187.34,4,4,4,12,1
12584.0,4,126,1893.95,4,4,4,12,1
12585.0,234,97,1982.81,1,3,4,8,2
12586.0,17,12,179.94000000000003,4,1,1,6,1
12587.0,8,4,144.0,4,1,1,6,1
12588.0,39,10,214.89999999999998,3,1,1,5,1
12589.0,29,35,646.68,3,2,2,7,1
12590.0,190,70,9861.38,1,3,4,8,2
12591.0,317,26,452.84999999999997,1,2,2,5,3
12592.0,92,18,437.6,2,2,2,6,4
12593.0,109,21,418.09999999999997,2,2,2,6,4
12594.0,38,119,3320.2200000000003,3,4,4,11,1
12596.0,51,27,618.27,2,2,2,6,4
12597.0,19,214,3683.13,3,4,4,11,1
12598.0,10,133,3002.68,4,4,4,12,1
12599.0,29,62,1032.58,3,3,3,9,1
12600.0,29,65,2581.04,3,3,4,10,1
12601.0,190,29,569.5600000000001,1,2,2,5,2
12602.0,59,12,153.12,2,1,1,4,4
12603.0,22,3,739.1999999999999,3,1,3,7,1
12604.0,79,16,254.18,2,1,1,4,4
12605.0,365,3,-7.5,1,1,1,3,3
12607.0,58,202,3.552713678800501e-15,2,4,1,7,4
12609.0,78,60,1126.85,2,3,3,8,4
12610.0,23,111,2057.99,3,4,4,11,1
12611.0,52,65,1193.32,2,3,3,8,4
12612.0,58,21,643.59,2,2,2,6,4
12613.0,31,163,3218.98,3,4,4,11,1
12614.0,278,20,315.6,1,2,2,5,3
12615.0,2,105,2291.19,4,4,4,12,1
12616.0,85,36,657.25,2,2,3,7,4
12617.0,29,42,355.53,3,2,2,7,1
12618.0,22,11,177.31,3,1,1,5,1
12619.0,16,95,3214.81,4,3,4,11,1
12620.0,15,92,1339.41,4,3,3,10,1
12621.0,2,474,13612.07,4,4,4,12,1
12622.0,232,11,180.1,1,1,1,3,2
12623.0,276,18,305.1,1,2,2,5,3
12624.0,106,38,641.13,2,2,2,6,4
12625.0,212,91,2614.32,1,3,4,8,2
12626.0,23,307,6388.35,3,4,4,11,1
12627.0,11,230,4478.53,4,4,4,12,1
12628.0,4,43,769.61,4,3,3,10,1
12630.0,10,64,1270.88,4,3,3,10,1
12631.0,57,31,640.5,2,2,2,6,4
12633.0,59,103,2140.63,2,4,4,10,4
12635.0,90,101,1689.18,2,3,4,9,4
12637.0,67,394,5953.25,2,4,4,10,4
12638.0,33,39,671.69,3,2,3,8,1
12639.0,239,22,486.1,1,2,2,5,2
12640.0,24,53,1174.58,3,3,3,9,1
12641.0,115,10,185.9,2,1,1,4,4
12642.0,25,47,1013.26,3,3,3,9,1
12643.0,128,24,3344.64,2,2,4,8,4
12644.0,130,31,477.91,2,2,2,6,4
12645.0,34,74,1755.38,3,3,4,10,1
12646.0,5,45,1346.97,4,3,3,10,1
12647.0,22,128,3669.92,3,4,4,11,1
12648.0,155,21,318.05,1,2,2,5,2
12649.0,107,33,603.71,2,2,2,6,4
12650.0,3,20,314.44,4,2,2,8,1
12651.0,335,9,114.0,1,1,1,3,3
12652.0,322,51,914.53,1,3,3,7,3
12653.0,149,43,2209.85,1,3,4,8,2
12654.0,11,38,601.98,4,2,2,8,1
12656.0,17,130,3982.72,4,4,4,12,1
12657.0,11,56,1152.06,4,3,3,10,1
12658.0,19,36,686.05,3,2,3,8,1
12659.0,30,5,91.68,3,1,1,5,1
12660.0,11,13,245.1,4,1,1,6,1
12662.0,1,232,3817.08,4,4,4,12,1
12664.0,8,38,4863.88,4,2,4,10,1
12665.0,325,4,61.75,1,1,1,3,3
12666.0,359,2,-227.44,1,1,1,3,3
12667.0,58,33,620.13,2,2,2,6,4
12668.0,7,168,3743.18,4,4,4,12,1
12669.0,151,102,1607.73,1,3,3,7,2
12670.0,10,94,2986.15,4,3,4,11,1
12672.0,330,10,225.89999999999998,1,1,1,3,3
12673.0,5,42,610.52,4,2,2,8,1
12674.0,12,91,1919.31,4,3,4,11,1
12676.0,25,45,1331.39,3,3,3,9,1
12678.0,42,167,17588.26,3,4,4,11,1
12679.0,52,56,1058.67,2,3,3,8,4
12680.0,1,52,862.81,4,3,3,10,1
12681.0,15,646,13677.59,4,4,4,12,1
12682.0,4,525,12288.22,4,4,4,12,1
12683.0,4,362,8221.09,4,4,4,12,1
12684.0,8,105,2283.63,4,4,4,12,1
12685.0,28,157,2863.08,3,4,4,11,1
12686.0,372,7,89.14,1,1,1,3,3
12688.0,114,171,4873.8099999999995,2,4,4,10,4
12689.0,26,72,1247.61,3,3,3,9,1
12690.0,206,16,389.01,1,1,2,4,2
12691.0,28,32,1035.8,3,2,3,8,1
12693.0,121,41,830.96,2,2,3,7,4
12694.0,70,37,869.67,2,2,3,7,4
12695.0,7,27,582.1,4,2,2,8,1
12697.0,21,43,939.02,3,3,3,9,1
12700.0,8,270,4867.99,4,4,4,12,1
12701.0,80,53,797.71,2,3,3,8,4
12702.0,20,12,219.0,3,1,1,5,1
12703.0,64,22,274.7,2,2,1,5,4
12704.0,7,90,2220.84,4,3,4,11,1
12705.0,15,348,6814.24,4,4,4,12,1
12707.0,292,33,603.42,1,2,2,5,3
12708.0,30,174,2616.32,3,4,4,11,1
12709.0,3,257,9294.1,4,4,4,12,1
12710.0,97,79,1130.57,2,3,3,8,4
12712.0,23,142,4241.63,3,4,4,11,1
12713.0,1,38,848.55,4,2,3,9,1
12714.0,9,259,4708.86,4,4,4,12,1
12715.0,106,21,353.86,2,2,2,6,4
12716.0,4,69,1053.49,4,3,3,10,1
12717.0,151,56,980.98,1,3,3,7,2
12718.0,71,19,238.25,2,2,1,5,4
12719.0,5,42,608.1,4,2,2,8,1
12720.0,3,359,5713.28,4,4,4,12,1
12721.0,32,164,2628.98,3,4,4,11,1
12722.0,85,57,904.33,2,3,3,8,4
12723.0,4,69,725.07,4,3,3,10,1
12724.0,5,53,1031.41,4,3,3,10,1
12725.0,371,24,427.8,1,2,2,5,3
12726.0,28,124,2609.1,3,4,4,11,1
12727.0,11,141,3947.7,4,4,4,12,1
12728.0,71,46,836.33,2,3,3,8,4
12729.0,114,26,453.01,2,2,2,6,4
12731.0,24,277,18793.41,3,4,4,11,1
12732.0,180,12,236.26000000000002,1,1,1,3,2
12733.0,234,22,383.95,1,2,2,5,2
12734.0,353,4,110.39999999999999,1,1,1,3,3
12735.0,315,43,779.5699999999999,1,3,3,7,3
12736.0,333,4,234.0,1,1,1,3,3
12738.0,372,11,155.35,1,1,1,3,3
12739.0,78,38,1013.04,2,2,3,7,4
12740.0,64,27,427.6,2,2,2,6,4
12743.0,134,134,546.43,2,4,2,8,2
